epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,3920.53,0.27121,0.18548,0.77147,0.99086,0.99648,0.99388,0.95662,0.27665,0.17149,0.82441,0.00013,0.00013,0.00013
162,3944.53,0.26846,0.18228,0.76939,0.98984,0.995,0.99388,0.95737,0.27719,0.17038,0.82435,0.000126906,0.000126906,0.000126906
163,3968.1,0.2706,0.18575,0.77138,0.99131,0.99313,0.99375,0.95843,0.27716,0.17012,0.82451,0.000123812,0.000123812,0.000123812
164,3991.69,0.26943,0.18285,0.76995,0.99064,0.99728,0.99387,0.95774,0.274,0.16776,0.82451,0.000120719,0.000120719,0.000120719
165,4015.5,0.27072,0.1833,0.77158,0.98964,0.99583,0.99389,0.95857,0.27536,0.16881,0.82411,0.000117625,0.000117625,0.000117625
166,4039.16,0.26573,0.18271,0.77089,0.98933,0.99529,0.99392,0.95482,0.2752,0.17053,0.82441,0.000114531,0.000114531,0.000114531
167,4063.06,0.26607,0.18072,0.76958,0.99009,0.99726,0.99396,0.95659,0.27128,0.16803,0.82421,0.000111438,0.000111438,0.000111438
168,4086.98,0.26649,0.18339,0.7704,0.98912,0.99736,0.99393,0.95455,0.27327,0.16929,0.82453,0.000108344,0.000108344,0.000108344
169,4111.01,0.26948,0.18099,0.77096,0.99065,0.99335,0.9939,0.95601,0.27332,0.16928,0.82441,0.00010525,0.00010525,0.00010525
170,4134.79,0.26961,0.18084,0.77166,0.99042,0.99374,0.99385,0.95948,0.27111,0.16645,0.82446,0.000102156,0.000102156,0.000102156
171,4158.94,0.26239,0.18036,0.76972,0.99087,0.99525,0.99395,0.95894,0.27258,0.1685,0.82424,9.90625e-05,9.90625e-05,9.90625e-05
172,4182.96,0.2624,0.17896,0.76998,0.98808,0.99792,0.9939,0.95643,0.27277,0.16901,0.82431,9.59688e-05,9.59688e-05,9.59688e-05
173,4206.64,0.25877,0.1763,0.7721,0.99161,0.99512,0.994,0.95861,0.27266,0.16752,0.82437,9.2875e-05,9.2875e-05,9.2875e-05
174,4230.55,0.26401,0.17851,0.77114,0.99093,0.99498,0.99394,0.95952,0.26951,0.16594,0.82408,8.97813e-05,8.97813e-05,8.97813e-05
175,4254.78,0.26298,0.17579,0.77062,0.9936,0.98961,0.99385,0.95975,0.27027,0.1662,0.82402,8.66875e-05,8.66875e-05,8.66875e-05
176,4279.18,0.25803,0.17975,0.76956,0.98777,0.9977,0.99386,0.95901,0.26887,0.16494,0.82404,8.35938e-05,8.35938e-05,8.35938e-05
